param,acc
{'reg__estimator': LinearRegression()},-1122.9562055929441
"{'reg__estimator': Ridge(), 'reg__estimator__alpha': 0.1}",-1112.8213076172608
"{'reg__estimator': Ridge(), 'reg__estimator__alpha': 1.0}",-1107.9926340479003
"{'reg__estimator': Ridge(), 'reg__estimator__alpha': 10.0}",-1113.886734001465
"{'reg__estimator': Lasso(max_iter=10000), 'reg__estimator__alpha': 0.1}",-1121.8557927371094
"{'reg__estimator': Lasso(max_iter=10000), 'reg__estimator__alpha': 1.0}",-1610.5197515316897
"{'reg__estimator': Lasso(max_iter=10000), 'reg__estimator__alpha': 10.0}",-7250.7991810353515
"{'reg__estimator': ElasticNet(max_iter=10000), 'reg__estimator__alpha': 0.1, 'reg__estimator__l1_ratio': 0.2}",-1218.6019554500003
"{'reg__estimator': ElasticNet(max_iter=10000), 'reg__estimator__alpha': 0.1, 'reg__estimator__l1_ratio': 0.4}",-1193.501917206543
"{'reg__estimator': ElasticNet(max_iter=10000), 'reg__estimator__alpha': 0.1, 'reg__estimator__l1_ratio': 0.6}",-1169.6532714947266
"{'reg__estimator': ElasticNet(max_iter=10000), 'reg__estimator__alpha': 0.1, 'reg__estimator__l1_ratio': 0.8}",-1144.615375763428
"{'reg__estimator': ElasticNet(max_iter=10000), 'reg__estimator__alpha': 1.0, 'reg__estimator__l1_ratio': 0.2}",-2102.6789827581056
"{'reg__estimator': ElasticNet(max_iter=10000), 'reg__estimator__alpha': 1.0, 'reg__estimator__l1_ratio': 0.4}",-2022.9605802339356
"{'reg__estimator': ElasticNet(max_iter=10000), 'reg__estimator__alpha': 1.0, 'reg__estimator__l1_ratio': 0.6}",-1947.585694114307
"{'reg__estimator': ElasticNet(max_iter=10000), 'reg__estimator__alpha': 1.0, 'reg__estimator__l1_ratio': 0.8}",-1861.6057677717283
"{'reg__estimator': ElasticNet(max_iter=10000), 'reg__estimator__alpha': 10.0, 'reg__estimator__l1_ratio': 0.2}",-5877.242432748242
"{'reg__estimator': ElasticNet(max_iter=10000), 'reg__estimator__alpha': 10.0, 'reg__estimator__l1_ratio': 0.4}",-6559.796276128906
"{'reg__estimator': ElasticNet(max_iter=10000), 'reg__estimator__alpha': 10.0, 'reg__estimator__l1_ratio': 0.6}",-7096.232693212694
"{'reg__estimator': ElasticNet(max_iter=10000), 'reg__estimator__alpha': 10.0, 'reg__estimator__l1_ratio': 0.8}",-7348.823945050586
